mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10890779495239258,0.016891817553077344,0.006527853012084961,0.0011128080193342953,0.0001,"(16,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.6006365458259242,0.6213569005897761,0.6222510555946517,0.686787536119004,0.5472626472626472,0.6156589370784007,0.044808314218883996,11
0.07579150199890136,0.01362193689439042,0.004880428314208984,0.0012525329617523611,0.0001,"(16,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7388430050746794,0.7121034029261877,0.7468418609663604,0.7956208914542248,0.791128543412373,0.7569075407667649,0.031952642052804694,4
0.16187624931335448,0.053583949338797926,0.0067708492279052734,0.0018609035597311801,0.0001,"(32,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6679550521941826,0.7439506912369753,0.5649014155712841,0.7245679012345679,0.6981657254996195,0.6799081571473259,0.06292647303426412,7
0.060975170135498045,0.011835084694025402,0.005074405670166015,0.001096610732918996,0.0001,"(32,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.794299128101945,0.737047931111435,0.7467377645502645,0.7840927468127221,0.7596001221001221,0.7643555385352977,0.021748017452621813,3
0.10745062828063964,0.013631184488405185,0.004410266876220703,0.001324489545924732,0.0001,"(32, 16)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.5974617228912762,0.6936281192428696,0.6855784074332334,0.7345992597985681,0.6843477418104283,0.6791230502352752,0.0447784507919109,8
0.06755628585815429,0.016280112418516016,0.004738044738769531,0.002225255023588174,0.0001,"(32, 16)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7500581369546887,0.8070590327169274,0.7999885961911278,0.7820912964341855,0.6968281460487412,0.7672050416691342,0.040327723488721955,2
0.13913559913635254,0.02324629828945874,0.007813453674316406,0.0035862368795091543,0.01,"(16,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.6006365458259242,0.6213569005897761,0.6222510555946517,0.686787536119004,0.5472626472626472,0.6156589370784007,0.044808314218883996,11
0.12333550453186035,0.020152751341719042,0.014102697372436523,0.006143808541584171,0.01,"(16,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7388430050746794,0.7121034029261877,0.7468418609663604,0.7956208914542248,0.791128543412373,0.7569075407667649,0.031952642052804694,4
0.19348130226135254,0.0726541572721074,0.006349992752075195,0.0013590652743801013,0.01,"(32,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6679550521941826,0.7439506912369753,0.5649014155712841,0.7470407225309186,0.48875108276242224,0.6425197928591566,0.10151771569557393,10
0.10744647979736328,0.017248008380162036,0.0072039604187011715,0.0012938153425431339,0.01,"(32,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.8012114352783367,0.737047931111435,0.6653461478355993,0.7840927468127221,0.7596001221001221,0.749459676627643,0.04734904404710545,6
0.12718710899353028,0.02198494987753124,0.003996658325195313,0.0006578538720621702,0.01,"(32, 16)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.5711655374740706,0.7091834091834092,0.6325492841450289,0.7444805194805194,0.6843477418104283,0.6683452984186913,0.06073822840123742,9
0.05945634841918945,0.012644836352913419,0.00399937629699707,0.0007102315173230549,0.01,"(32, 16)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7718337598474585,0.8070590327169274,0.7789238799141398,0.7902167277167277,0.6968281460487412,0.768972309248799,0.037984011801416036,1
