mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__n_centers,param_model__width,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.050696182250976565,0.002294808344960751,0.005379676818847656,0.0012306777041912803,0.001,8,0.5,"{'model__alpha': 0.001, 'model__n_centers': 8, 'model__width': 0.5}",0.468581944162647,0.4210855751762828,0.44423147602347124,0.5005660382093042,0.5026508452972399,0.467423175773789,0.031704286590601184,17
0.06098942756652832,0.004754254131286304,0.006167459487915039,0.0010046151798201312,0.001,8,1.0,"{'model__alpha': 0.001, 'model__n_centers': 8, 'model__width': 1}",0.633881595336254,0.5403987128670673,0.5335827288842716,0.6220220204284368,0.6085160873733332,0.5876802289778726,0.04221407151793014,13
0.07136554718017578,0.0037223702175420473,0.005620288848876953,0.0009068672982851434,0.001,16,0.5,"{'model__alpha': 0.001, 'model__n_centers': 16, 'model__width': 0.5}",0.6548928717502334,0.6240730441230997,0.6141233177826885,0.666748034936612,0.6599242218807436,0.6439522980946755,0.02087772460986494,11
0.06425437927246094,0.003774749037305559,0.006012916564941406,0.0017274038298703825,0.001,16,1.0,"{'model__alpha': 0.001, 'model__n_centers': 16, 'model__width': 1}",0.6721663880508213,0.6493541061291299,0.6620924447529792,0.684753392923489,0.6685514906766793,0.6673835645066197,0.011653391862098872,7
0.09193902015686035,0.0079237289657456,0.0046802997589111325,0.00045440611241203386,0.001,32,0.5,"{'model__alpha': 0.001, 'model__n_centers': 32, 'model__width': 0.5}",0.6615432098765432,0.6805248656012781,0.640622654848007,0.7068689110641215,0.661873036675495,0.670286535613089,0.022227335089662018,6
0.08814520835876465,0.0034595216682616883,0.005317306518554688,0.0014774206162518327,0.001,32,1.0,"{'model__alpha': 0.001, 'model__n_centers': 32, 'model__width': 1}",0.6810780543657255,0.6991231704475191,0.6991624958291625,0.7278027268775522,0.7815928885696327,0.7177518672179184,0.035254098792163,1
0.05501747131347656,0.006682598465288908,0.005061674118041992,0.0010986862111691108,0.01,8,0.5,"{'model__alpha': 0.01, 'model__n_centers': 8, 'model__width': 0.5}",0.468581944162647,0.4210855751762828,0.44423147602347124,0.5005660382093042,0.4926759743005778,0.4654282015744566,0.02967363969652518,18
0.08038463592529296,0.011293616265014766,0.008488178253173828,0.0022711300179633614,0.01,8,1.0,"{'model__alpha': 0.01, 'model__n_centers': 8, 'model__width': 1}",0.6211422250019469,0.5581058017431295,0.5383685228005003,0.6158868092691622,0.6011633060781667,0.5869333329785811,0.032865214321389814,14
0.08932266235351563,0.009017717102468854,0.006718349456787109,0.001555054329295211,0.01,16,0.5,"{'model__alpha': 0.01, 'model__n_centers': 16, 'model__width': 0.5}",0.6548928717502334,0.6240730441230997,0.6141233177826885,0.666748034936612,0.6599242218807436,0.6439522980946755,0.02087772460986494,11
0.10316200256347656,0.07371318548059436,0.005103540420532226,0.0005877913141845255,0.01,16,1.0,"{'model__alpha': 0.01, 'model__n_centers': 16, 'model__width': 1}",0.6713524130190797,0.6611380827499512,0.6495079115083143,0.6956395440623915,0.6884676649169402,0.6732211232513354,0.01701088464061876,4
0.08570032119750977,0.007231171313062862,0.0047551155090332035,0.000516635701284382,0.01,32,0.5,"{'model__alpha': 0.01, 'model__n_centers': 32, 'model__width': 0.5}",0.6615432098765432,0.6866984657749803,0.640622654848007,0.7068689110641215,0.6667838760862016,0.6725034235299707,0.022590745343350965,5
0.09070019721984864,0.0038826756916938545,0.005478811264038086,0.0005714377271341835,0.01,32,1.0,"{'model__alpha': 0.01, 'model__n_centers': 32, 'model__width': 1}",0.6743389270277143,0.7133077496450505,0.6836907162396686,0.6971927475654969,0.7872263273125342,0.7111512935580928,0.04023962153412945,2
0.05108728408813477,0.004569937424053508,0.005474519729614258,0.0006243249398144505,0.1,8,0.5,"{'model__alpha': 0.1, 'model__n_centers': 8, 'model__width': 0.5}",0.468581944162647,0.43543957302547187,0.44423147602347124,0.4949579022672243,0.5048240948383264,0.4696069980634282,0.02718563237162896,16
0.05280008316040039,0.002547397080731029,0.0058252811431884766,0.0010868593394596454,0.1,8,1.0,"{'model__alpha': 0.1, 'model__n_centers': 8, 'model__width': 1}",0.6013480671375409,0.5399223080803053,0.523170714896198,0.5803375540650662,0.5434510567296997,0.557645940181762,0.02873655598941453,15
0.08157367706298828,0.0108035338949303,0.00554952621459961,0.001313549349608955,0.1,16,0.5,"{'model__alpha': 0.1, 'model__n_centers': 16, 'model__width': 0.5}",0.6684948667572109,0.6237182350961343,0.610302320692639,0.6749758033294618,0.6511925882872325,0.6457367628325358,0.02507203249943524,9
0.06995868682861328,0.00510281415306804,0.006041717529296875,0.0009833678549510897,0.1,16,1.0,"{'model__alpha': 0.1, 'model__n_centers': 16, 'model__width': 1}",0.6301043344898569,0.6229730158048533,0.6591751116922742,0.671218487394958,0.6446354129510327,0.6456212724665951,0.017852813687589186,10
0.11351470947265625,0.011055770508981743,0.006203651428222656,0.0012535357283895991,0.1,32,0.5,"{'model__alpha': 0.1, 'model__n_centers': 32, 'model__width': 0.5}",0.6540794417606012,0.6382436938123097,0.6391812134065655,0.6906407123369911,0.6727703820727077,0.658983088677835,0.020191964300865065,8
0.10155668258666992,0.009996624319839017,0.005911970138549804,0.0012499004869866302,0.1,32,1.0,"{'model__alpha': 0.1, 'model__n_centers': 32, 'model__width': 1}",0.700754417311892,0.6516041429834534,0.6882599490450494,0.7177513849538998,0.7339740749828468,0.6984687938554284,0.02806486556428558,3
