mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09627399444580079,0.04125098187275744,0.005579805374145508,0.001244787448342377,0.0001,"(16,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.3630031705152899,0.24986972915373715,0.655808376021142,0.5576193585606184,0.6791421362489487,0.5010885540999472,0.16793778873824947,11
0.06053481101989746,0.015263395211460964,0.004063653945922852,0.0009681326223463447,0.0001,"(16,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7633568796068797,0.7716397865831051,0.7277827580776952,0.7375482298788331,0.755501575630252,0.751165845955353,0.01624075345811846,3
0.08480000495910645,0.013770376606192413,0.004470062255859375,0.0007025989691907198,0.0001,"(32,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6216076431639054,0.6092128840263964,0.6888272795456981,0.6842902054522165,0.6099056769788478,0.6427687378334127,0.03605326492550224,9
0.054420995712280276,0.009396418829718001,0.004861164093017578,0.001442832082751634,0.0001,"(32,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.7538063909774436,0.8091797249322369,0.7141532039568766,0.7269407299527781,0.735176685578292,0.7478513470795255,0.03325687381753694,5
0.11194214820861817,0.024294113732671256,0.004558277130126953,0.0009955337671080115,0.0001,"(32, 16)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.6668043760006548,0.6352293153986783,0.6198305023912711,0.712391153680961,0.6920466632355464,0.6652604021414223,0.03437131752383462,7
0.08217978477478027,0.017174796601462237,0.0044344902038574215,0.0011312257817188344,0.0001,"(32, 16)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.6724037658248184,0.849759829211884,0.823294466653232,0.7970026370026371,0.751784429797397,0.7788490256979939,0.062283831900135395,2
0.08148226737976075,0.05376845387791452,0.003830432891845703,0.0008438033474154635,0.01,"(16,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.3630031705152899,0.24986972915373715,0.655808376021142,0.5576193585606184,0.6791421362489487,0.5010885540999472,0.16793778873824947,11
0.058868122100830075,0.014239955375690356,0.005283260345458984,0.0012144887834844961,0.01,"(16,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7633568796068797,0.7926674552935828,0.7231710311879088,0.7375482298788331,0.6959720963085134,0.7425431384551435,0.03321068676656318,6
0.0897749900817871,0.03564511105948124,0.0050869941711425785,0.0022202119510368492,0.01,"(32,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6216076431639054,0.6092128840263964,0.6888272795456981,0.6842902054522165,0.6099056769788478,0.6427687378334127,0.03605326492550224,9
0.05242719650268555,0.015899084316874215,0.0035919189453125,0.0005145599375423771,0.01,"(32,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.7590140054241884,0.8168667377111748,0.7141532039568766,0.7197451671135882,0.735176685578292,0.748991159956824,0.037329351627762235,4
0.09793400764465332,0.029635414741923737,0.004354524612426758,0.0016712212121734221,0.01,"(32, 16)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.6668043760006548,0.6227612257024021,0.6198305023912711,0.712391153680961,0.6920466632355464,0.6627667842021671,0.03682434117952739,8
0.07192740440368653,0.020381019723296177,0.0040470600128173825,0.0015455191405712087,0.01,"(32, 16)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7038136499786051,0.8097944648577561,0.8231958516352255,0.7900178316844984,0.7756254158820948,0.7804894428076359,0.04165632684428335,1
