mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__n_centers,param_model__width,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.053026580810546876,0.004045794254182099,0.004819393157958984,0.0009831065030491643,0.001,8,0.5,"{'model__alpha': 0.001, 'model__n_centers': 8, 'model__width': 0.5}",0.5248002901257873,0.4617387179031014,0.5000493068444771,0.5822344322344322,0.46686939605614697,0.5071384286327889,0.04400985224938468,16
0.050347185134887694,0.004370979720924636,0.004588270187377929,0.0011269639003603585,0.001,8,1.0,"{'model__alpha': 0.001, 'model__n_centers': 8, 'model__width': 1}",0.5931864334940218,0.5886435316155669,0.5591497962821492,0.6030554729869941,0.5268980176516797,0.5741866504060824,0.02780548096554804,14
0.06688809394836426,0.009416279613894771,0.004937458038330078,0.0010459747607237495,0.001,16,0.5,"{'model__alpha': 0.001, 'model__n_centers': 16, 'model__width': 0.5}",0.6447997775305896,0.6783054947060971,0.6141775435073629,0.6185848898780949,0.6085725265073092,0.6328880464258907,0.02588645074861289,10
0.09038720130920411,0.0464660493726209,0.004721498489379883,0.001306999530765809,0.001,16,1.0,"{'model__alpha': 0.001, 'model__n_centers': 16, 'model__width': 1}",0.664259893455099,0.6838058756766195,0.6685492801771872,0.7070537188288745,0.6509912228045602,0.674931998188468,0.019174693078165755,7
0.08658394813537598,0.0027495870881621095,0.004461669921875,0.000880272139945304,0.001,32,0.5,"{'model__alpha': 0.001, 'model__n_centers': 32, 'model__width': 0.5}",0.6980168705540197,0.6912093575997196,0.6399693133870349,0.6529414340852958,0.7195310703730913,0.6803336091998322,0.029485685448284022,4
0.09906606674194336,0.010335420645229862,0.005601024627685547,0.00183089919100571,0.001,32,1.0,"{'model__alpha': 0.001, 'model__n_centers': 32, 'model__width': 1}",0.7465179398914339,0.7261378252939434,0.7286867453534119,0.7381657374280369,0.7500455132722574,0.7379107522478167,0.009434884566799072,1
0.07981605529785156,0.008851132511450567,0.006417703628540039,0.0006294152483032629,0.01,8,0.5,"{'model__alpha': 0.01, 'model__n_centers': 8, 'model__width': 0.5}",0.5248002901257873,0.4617387179031014,0.49422582664854076,0.5822344322344322,0.46686939605614697,0.5059737325936018,0.04425840605584198,17
0.0886199951171875,0.024757527318919368,0.008055925369262695,0.0027838535353393716,0.01,8,1.0,"{'model__alpha': 0.01, 'model__n_centers': 8, 'model__width': 1}",0.5925249586014891,0.5823803384457393,0.5467296312262413,0.627939622772681,0.5268980176516797,0.5752945137395661,0.035430997709914404,13
0.10986890792846679,0.014094166397921878,0.0062653541564941405,0.0012066797202725352,0.01,16,0.5,"{'model__alpha': 0.01, 'model__n_centers': 16, 'model__width': 0.5}",0.6395994832041343,0.6783054947060971,0.6056515652866171,0.6185848898780949,0.6088286713286714,0.630194020880723,0.026820733941758424,11
0.09752883911132812,0.0159136107579391,0.006344270706176758,0.00106737651356085,0.01,16,1.0,"{'model__alpha': 0.01, 'model__n_centers': 16, 'model__width': 1}",0.6382082039593053,0.6747631908197382,0.6481325863678805,0.7023128106461439,0.6365622922255084,0.6599958168037153,0.025192735806888033,8
0.13711013793945312,0.021910830487068905,0.008385133743286134,0.0023587744070206686,0.01,32,0.5,"{'model__alpha': 0.01, 'model__n_centers': 32, 'model__width': 0.5}",0.6967489274190689,0.6912093575997196,0.6399693133870349,0.6652277380532868,0.7195310703730913,0.6825372813664402,0.027413020272838352,3
0.1303278923034668,0.008932979866502606,0.008588171005249024,0.0028536060978910484,0.01,32,1.0,"{'model__alpha': 0.01, 'model__n_centers': 32, 'model__width': 1}",0.7213687657817985,0.7145975967060418,0.7095636740200838,0.7075873680378595,0.7407444941081062,0.718772379730778,0.011973709462625576,2
0.09365625381469726,0.02139908480199648,0.009942388534545899,0.004685270569950149,0.1,8,0.5,"{'model__alpha': 0.1, 'model__n_centers': 8, 'model__width': 0.5}",0.5300889586603873,0.46271367521367524,0.4886191513642494,0.5814588365221276,0.46686939605614697,0.5059500035633173,0.04467953763908793,18
0.09119453430175781,0.016438555694213666,0.007172298431396484,0.0018274936743818441,0.1,8,1.0,"{'model__alpha': 0.1, 'model__n_centers': 8, 'model__width': 1}",0.5640123182713435,0.5262665326729983,0.5602537615836849,0.6551549187354572,0.5146857112812337,0.5640746485089435,0.049353701847046474,15
0.08115596771240234,0.007843977546109628,0.0053558826446533205,0.001144263898051929,0.1,16,0.5,"{'model__alpha': 0.1, 'model__n_centers': 16, 'model__width': 0.5}",0.6319788462576224,0.6849071386761622,0.5977363592365803,0.6129994901013227,0.6001520867192509,0.6255547841981877,0.03206483360890038,12
0.06909842491149902,0.005585780897753751,0.00507969856262207,0.0014089115622900879,0.1,16,1.0,"{'model__alpha': 0.1, 'model__n_centers': 16, 'model__width': 1}",0.6200975472254135,0.6591621796539829,0.623351720514841,0.6561901550410577,0.6577672327672328,0.6433137670405056,0.017682490694565282,9
0.10580234527587891,0.013161643000401221,0.006186103820800782,0.001692059592692877,0.1,32,0.5,"{'model__alpha': 0.1, 'model__n_centers': 32, 'model__width': 0.5}",0.695053746175324,0.6830871225848394,0.6465956558061821,0.6625542005420054,0.6883356285568364,0.6751252707330375,0.017927741106002006,6
0.09270176887512208,0.00273890054691081,0.0049664020538330075,0.000903904780042881,0.1,32,1.0,"{'model__alpha': 0.1, 'model__n_centers': 32, 'model__width': 1}",0.6590237340570452,0.6888226512538078,0.6682551267511799,0.6897417594619459,0.6795801428644843,0.6770846828776926,0.011902669813930794,5
