mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07227520942687989,0.025207356949044787,0.00539851188659668,0.0012268466785021713,0.0001,"(16,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.34200480408632167,0.5094620078097023,0.3975391828972392,0.4892373302537671,0.6179388938009628,0.4712364437695986,0.09532988771725455,11
0.06658005714416504,0.021632793442439673,0.005620908737182617,0.0014947933217892982,0.0001,"(16,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.6508367025165376,0.7918209216943394,0.716057034559975,0.7426397574669373,0.7113597115104378,0.7225428255496453,0.045852452241372084,5
0.11114506721496582,0.014804807284873434,0.005072832107543945,0.0011850385510060353,0.0001,"(32,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6878679962013295,0.6133019124312656,0.6068220175560389,0.704852881685381,0.702984973716681,0.6631659563181392,0.043805495033224874,8
0.08720178604125976,0.02649234293775231,0.005588102340698242,0.0013246313317045292,0.0001,"(32,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.8131666330427603,0.7974884650434284,0.7619322750420311,0.7747313661947808,0.7275395300786992,0.77497165388034,0.029616727453136513,1
0.07110967636108398,0.019592771966496197,0.004336309432983398,0.0014321317508879917,0.0001,"(32, 16)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.680012841730197,0.6069779674873018,0.5714114832535885,0.3109600925390399,0.6406810035842294,0.5620086777188714,0.13057592387272074,9
0.05616569519042969,0.016729371136010588,0.004845952987670899,0.0009648243994378036,0.0001,"(32, 16)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7228587030006761,0.6010592422611885,0.8199991305049226,0.8224247974247973,0.7413889516657105,0.741546164971459,0.08097165231369743,3
0.058842134475708005,0.017592217688286862,0.0035959720611572266,0.000605765217735293,0.01,"(16,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.34200480408632167,0.5094620078097023,0.3975391828972392,0.4892373302537671,0.6179388938009628,0.4712364437695986,0.09532988771725455,11
0.05433039665222168,0.020263628305551177,0.004133415222167969,0.0009153450769548223,0.01,"(16,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.6508367025165376,0.7788279169858118,0.717497829209857,0.7426397574669373,0.7113597115104378,0.7202323835379163,0.04204162125118312,6
0.08553285598754883,0.016695244022634493,0.0030690670013427735,0.0004663273499168794,0.01,"(32,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6878679962013295,0.6133019124312656,0.6127428905593445,0.704852881685381,0.702984973716681,0.6643501309188002,0.042321251761718054,7
0.04984283447265625,0.0134050416445351,0.00503230094909668,0.0019219783539559563,0.01,"(32,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6860096876716275,0.7909095176750074,0.7716538570197107,0.7687063259202562,0.7314191645171406,0.7497397105607484,0.03723459025108101,2
0.08615288734436036,0.024760055046105636,0.004172515869140625,0.0005218838902771515,0.01,"(32, 16)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.6796432336156446,0.6069779674873018,0.5714114832535885,0.3109600925390399,0.6406810035842294,0.5619347560959609,0.1305091860146713,10
0.06130237579345703,0.022661980051844176,0.00451207160949707,0.0006966643591073681,0.01,"(32, 16)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7248554652213188,0.6010592422611885,0.806328281129906,0.8136443885362414,0.730258041710852,0.7352290837719012,0.07660016380955377,4
