mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__n_centers,param_model__width,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10746183395385742,0.013876694198307364,0.009618759155273438,0.00270827645942245,0.001,8,0.5,"{'model__alpha': 0.001, 'model__n_centers': 8, 'model__width': 0.5}",0.5158599707910118,0.5170008306924782,0.5080117209834191,0.5003234539496138,0.514520202020202,0.511143235687345,0.006242386916694922,17
0.08735513687133789,0.0059865917443011635,0.009722566604614258,0.0009825245392769864,0.001,8,1.0,"{'model__alpha': 0.001, 'model__n_centers': 8, 'model__width': 1}",0.5693445497750782,0.602311811347956,0.5489976404902248,0.553542780748663,0.568026007497657,0.5684445579719157,0.018698778489159764,13
0.12915415763854982,0.013825005262845375,0.00984783172607422,0.0010796691932139259,0.001,16,0.5,"{'model__alpha': 0.001, 'model__n_centers': 16, 'model__width': 0.5}",0.6384913730037426,0.6281856543672917,0.5508450284351495,0.5972042956404952,0.6253596636059051,0.6080172030105169,0.03169157275326726,12
0.1665316104888916,0.04684991162744034,0.011962795257568359,0.006675968445863014,0.001,16,1.0,"{'model__alpha': 0.001, 'model__n_centers': 16, 'model__width': 1}",0.6754379049931417,0.68587154919673,0.6005185420096624,0.6305468654293065,0.6759584833388739,0.6536666689935429,0.03276374438736247,7
0.17120513916015626,0.09257535667483228,0.008139753341674804,0.003217737730987937,0.001,32,0.5,"{'model__alpha': 0.001, 'model__n_centers': 32, 'model__width': 0.5}",0.6918438141896179,0.6661048970397383,0.6768370279146141,0.6933715827551444,0.6685352717193702,0.679338518723697,0.011414075922116957,3
0.12492790222167968,0.014201172451678873,0.0076904773712158205,0.0013101401329935172,0.001,32,1.0,"{'model__alpha': 0.001, 'model__n_centers': 32, 'model__width': 1}",0.7173327018720644,0.7325263424079688,0.6951115939166502,0.7212974079171262,0.7276704982524409,0.71878770887325,0.012935440098108956,1
0.08164081573486329,0.004602699210783136,0.00809774398803711,0.001174365823548216,0.01,8,0.5,"{'model__alpha': 0.01, 'model__n_centers': 8, 'model__width': 0.5}",0.5158599707910118,0.5170008306924782,0.5080117209834191,0.5003234539496138,0.514520202020202,0.511143235687345,0.006242386916694922,17
0.08308796882629395,0.0027646818231013707,0.00792698860168457,0.0009556954353242463,0.01,8,1.0,"{'model__alpha': 0.01, 'model__n_centers': 8, 'model__width': 1}",0.556617721165884,0.5905316316262624,0.5432542234723998,0.547642151855635,0.5627109600735487,0.5601513376387459,0.01663726282331848,15
0.09688796997070312,0.005292963015885041,0.007928180694580077,0.0008365535947542907,0.01,16,0.5,"{'model__alpha': 0.01, 'model__n_centers': 16, 'model__width': 0.5}",0.6440173986225375,0.6281856543672917,0.5508450284351495,0.5918982499755107,0.6253596636059051,0.608061199001279,0.033262621568727675,11
0.10399479866027832,0.008987209711050683,0.008451461791992188,0.0016059104007258534,0.01,16,1.0,"{'model__alpha': 0.01, 'model__n_centers': 16, 'model__width': 1}",0.6765259197324415,0.6697471350440608,0.6261154003158137,0.6259683098591549,0.644136337432256,0.6484986204767453,0.021282301706083622,8
0.1433131217956543,0.012732830715090997,0.008469581604003906,0.0021747893959609393,0.01,32,0.5,"{'model__alpha': 0.01, 'model__n_centers': 32, 'model__width': 0.5}",0.6918438141896179,0.6654549084822161,0.6703618235101604,0.6933715827551444,0.6685352717193702,0.6779134801313018,0.012109512475588669,4
0.16711630821228027,0.02350134329690623,0.010183620452880859,0.00299223240675244,0.01,32,1.0,"{'model__alpha': 0.01, 'model__n_centers': 32, 'model__width': 1}",0.6997345937913263,0.7102409151197743,0.7052898890451633,0.6773618585251191,0.6929519670297849,0.6971158447022336,0.011432394047914497,2
0.08321619033813477,0.006653927475459274,0.008425426483154298,0.001008302274792641,0.1,8,0.5,"{'model__alpha': 0.1, 'model__n_centers': 8, 'model__width': 0.5}",0.50809675556511,0.5235556722689075,0.5144036805060501,0.5127941981390257,0.521610769957487,0.5160922152873161,0.005723863708215161,16
0.08445620536804199,0.002725933973440411,0.009627294540405274,0.0007938182649274175,0.1,8,1.0,"{'model__alpha': 0.1, 'model__n_centers': 8, 'model__width': 1}",0.5736534803180333,0.5828507000621869,0.5541945169686018,0.570984077895402,0.5209767778078973,0.5605319106104243,0.0218372289649299,14
0.10561017990112305,0.0028732689455936,0.007808589935302734,0.0010732141790800813,0.1,16,0.5,"{'model__alpha': 0.1, 'model__n_centers': 16, 'model__width': 0.5}",0.6494318181818182,0.6396102848093286,0.5437548094043935,0.5937321653665577,0.6159919244825007,0.6085042004489196,0.03770787994528919,10
0.10205349922180176,0.005558771079885292,0.008374309539794922,0.0013480759396975763,0.1,16,1.0,"{'model__alpha': 0.1, 'model__n_centers': 16, 'model__width': 1}",0.6711886993603412,0.6638647821028844,0.6301328502415459,0.6228962875582293,0.6225217764691449,0.6421208791464291,0.021048316190518366,9
0.1426025390625,0.00707668146180063,0.007767200469970703,0.0011296972415719049,0.1,32,0.5,"{'model__alpha': 0.1, 'model__n_centers': 32, 'model__width': 0.5}",0.6946766886078091,0.6654247894915737,0.6571995332771194,0.6978027826425139,0.6500376392652816,0.6730282866568595,0.019592658975014575,5
0.14186806678771974,0.005280467884253349,0.008590459823608398,0.0008942355828523033,0.1,32,1.0,"{'model__alpha': 0.1, 'model__n_centers': 32, 'model__width': 1}",0.6923853923853924,0.6771483646312648,0.6285703019250274,0.6759619769195693,0.6565397836194583,0.6661211638961424,0.02195504742846359,6
