mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.019830608367919923,0.0032102483414131696,0.007420110702514649,0.002235104032814505,0.1,{'model__C': 0.1},0.7217786969499298,0.698446312105236,0.7428690539288161,0.7509266720386785,0.7622728149043938,0.7352587099854109,0.022671689939386605,4
0.019458532333374023,0.0016613318982893527,0.006845331192016602,0.0014792507125499072,1.0,{'model__C': 1},0.7766203410131756,0.7616188909774436,0.8209658314289264,0.7663918264076659,0.8007142857142857,0.7852622351082994,0.022375410780258793,3
0.05479221343994141,0.013640232049762465,0.007697391510009766,0.0013259801185987467,10.0,{'model__C': 10},0.7832207794557192,0.7681901489949979,0.8294642857142858,0.7847772141235074,0.8209092082331518,0.7973123273043324,0.023640487608637732,1
0.32591900825500486,0.16888412194896274,0.0064717292785644535,0.001205326371441767,100.0,{'model__C': 100},0.7542803608551223,0.7695909268863463,0.8298307603102124,0.7844866480574457,0.8198364367362181,0.791605026569069,0.028936626645855102,2
