mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.021172523498535156,0.0027720444153289904,0.004508399963378906,0.0006515175758976256,0.0001,"(16,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.21960194730813287,0.15543672014260249,0.22575771881786422,0.1671934904967779,0.18054252657911193,0.1897064806688979,0.02813773254983567,11
0.05189504623413086,0.018789775815714622,0.003477191925048828,0.0007262036833823107,0.0001,"(16,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7105880230880232,0.7636906000994576,0.6340009652509653,0.7263500388500388,0.7844522300577866,0.7238163714692543,0.05199014776103287,6
0.17209930419921876,0.08280429345314941,0.009357690811157227,0.008671913096599653,0.0001,"(32,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.7072310405643738,0.7445767168750353,0.6736502289125076,0.6008250452079565,0.6104418637710911,0.6673449790661928,0.055241762341957726,7
0.04737920761108398,0.010218383284555583,0.0042969703674316405,0.001173825378639637,0.0001,"(32,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.7854610765258568,0.7598162071846282,0.762979583449067,0.7438202565534359,0.8042218763303534,0.7712598000086681,0.021168944603745122,2
0.08485240936279297,0.013659413284857048,0.004765796661376953,0.0016640264297655897,0.0001,"(32, 16)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.5239334814965814,0.6961031784945586,0.58228221054308,0.6321754198260223,0.5562746621570152,0.5981537905034515,0.060441668706556886,10
0.07496223449707032,0.01666919226675522,0.003946733474731445,0.0009005226896922874,0.0001,"(32, 16)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7844564987857672,0.7301753427982041,0.774948753139695,0.7368488455988457,0.8354955144059212,0.7723849909456867,0.037893810503541216,1
0.02069830894470215,0.003273966167953663,0.004251623153686523,0.0017363580950517014,0.01,"(16,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.21960194730813287,0.15543672014260249,0.22575771881786422,0.1671934904967779,0.18054252657911193,0.1897064806688979,0.02813773254983567,11
0.06184620857238769,0.023097689180984725,0.003724193572998047,0.0009825578975877628,0.01,"(16,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7105880230880232,0.8420421431266181,0.6340009652509653,0.7182450282824682,0.7943444137739265,0.7398441147044003,0.0720276770820861,5
0.10731415748596192,0.027569245189565057,0.003441524505615234,0.0004625167647522319,0.01,"(32,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.7072310405643738,0.7445767168750353,0.6736502289125076,0.6008250452079565,0.6104418637710911,0.6673449790661928,0.055241762341957726,7
0.04822874069213867,0.010723597575400192,0.005286645889282226,0.0021403142858459645,0.01,"(32,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.7854610765258568,0.7598162071846282,0.762979583449067,0.7438202565534359,0.8042218763303534,0.7712598000086681,0.021168944603745122,2
0.09653191566467285,0.01595094358780226,0.005945158004760742,0.001596430064252338,0.01,"(32, 16)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.5266493123071738,0.6961031784945586,0.58228221054308,0.6321754198260223,0.5562746621570152,0.59869695666557,0.059780828976878864,9
0.07568683624267578,0.012518388246635601,0.006499624252319336,0.0035163407720635227,0.01,"(32, 16)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7077011522491614,0.7826190200951776,0.7770875438783107,0.766215343592574,0.8065537246597401,0.7680353568949927,0.032929678636281094,4
