mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__n_centers,param_model__width,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06291823387145996,0.007649183741339044,0.0054228782653808595,0.0011802360767714664,0.001,8,0.5,"{'model__alpha': 0.001, 'model__n_centers': 8, 'model__width': 0.5}",0.5143743667679839,0.527769434558049,0.44897648058567596,0.5636979610407569,0.4077346278317152,0.4925105741568362,0.05634010133799693,17
0.0693887710571289,0.0062912809067820746,0.006958532333374024,0.0018682101196202078,0.001,8,1.0,"{'model__alpha': 0.001, 'model__n_centers': 8, 'model__width': 1}",0.5497266339435056,0.5808821914800175,0.5746771852649849,0.6081019277463376,0.47933794600461266,0.5585451768878916,0.04374153082522966,13
0.0962414264678955,0.0046163859260202385,0.00746307373046875,0.0005366796305418892,0.001,16,0.5,"{'model__alpha': 0.001, 'model__n_centers': 16, 'model__width': 0.5}",0.6412429584304584,0.606925087108014,0.5761158381848037,0.6010735248687056,0.6880736856891252,0.6226862188562213,0.03874066487223279,12
0.09428281784057617,0.004622414291410324,0.0064487457275390625,0.001581101542934136,0.001,16,1.0,"{'model__alpha': 0.001, 'model__n_centers': 16, 'model__width': 1}",0.6644344177064765,0.6251831501831502,0.6115706027938275,0.6307048214942952,0.7113096363096363,0.6486405256974772,0.03584126556101971,8
0.138081693649292,0.0052929879807108796,0.007859277725219726,0.0014300791754787688,0.001,32,0.5,"{'model__alpha': 0.001, 'model__n_centers': 32, 'model__width': 0.5}",0.6494493823019734,0.7289561071839553,0.6521747431931875,0.708594867273974,0.6957387916292026,0.6869827783164586,0.031387467626371506,3
0.16021432876586914,0.06553155959894001,0.006949234008789063,0.0008848224202153026,0.001,32,1.0,"{'model__alpha': 0.001, 'model__n_centers': 32, 'model__width': 1}",0.6820042414874865,0.7307315491526017,0.660799635714826,0.7593724152191894,0.7466547878608883,0.7159125258869984,0.038054315173531056,1
0.09101758003234864,0.012693535191466692,0.006926202774047851,0.0015877697143999905,0.01,8,0.5,"{'model__alpha': 0.01, 'model__n_centers': 8, 'model__width': 0.5}",0.5143743667679839,0.527769434558049,0.44897648058567596,0.5636979610407569,0.4077346278317152,0.4925105741568362,0.05634010133799693,17
0.07277445793151856,0.0018474608259730994,0.007365703582763672,0.0011319608263283584,0.01,8,1.0,"{'model__alpha': 0.01, 'model__n_centers': 8, 'model__width': 1}",0.5557240291084533,0.5691146745019589,0.5736741095783648,0.5925598063731061,0.47933794600461266,0.5540821131132991,0.039191181433820436,14
0.09233241081237793,0.0068349335743007065,0.0060313701629638675,0.0011389877491211364,0.01,16,0.5,"{'model__alpha': 0.01, 'model__n_centers': 16, 'model__width': 0.5}",0.6412429584304584,0.606925087108014,0.5768390524204479,0.6010735248687056,0.6880736856891252,0.6228308617033502,0.0385674818474214,11
0.08248848915100097,0.0036260784565439806,0.007169103622436524,0.000875029441139156,0.01,16,1.0,"{'model__alpha': 0.01, 'model__n_centers': 16, 'model__width': 1}",0.6596145124716553,0.6182777113295798,0.6035020090791678,0.6565488519918901,0.7108183770252736,0.6497522923795133,0.03742261684945256,7
0.12370514869689941,0.005373165227893815,0.008139276504516601,0.00024348925519048463,0.01,32,0.5,"{'model__alpha': 0.01, 'model__n_centers': 32, 'model__width': 0.5}",0.6494493823019734,0.7158125384239482,0.6426266589867281,0.6947582708884318,0.6876288323548597,0.6780551365911883,0.027819913525790368,4
0.12963409423828126,0.005936172970821295,0.007025337219238282,0.0008271842576864814,0.01,32,1.0,"{'model__alpha': 0.01, 'model__n_centers': 32, 'model__width': 1}",0.6688543806601154,0.7117899150473449,0.652110486412812,0.7600486704653371,0.7304997467346865,0.7046606398640591,0.03957253281842963,2
0.0731440544128418,0.0071962646003758245,0.006411361694335938,0.0017314663814560216,0.1,8,0.5,"{'model__alpha': 0.1, 'model__n_centers': 8, 'model__width': 0.5}",0.5197140026223256,0.527769434558049,0.44897648058567596,0.5636985780961684,0.4077346278317152,0.4935786247387869,0.05679334534976769,16
0.06972970962524414,0.006341232102472934,0.006002998352050782,0.0005185348921011248,0.1,8,1.0,"{'model__alpha': 0.1, 'model__n_centers': 8, 'model__width': 1}",0.5276151279422703,0.5715609188303205,0.5380791485279564,0.553030303030303,0.43550525602793166,0.5251581508717563,0.047203186779707924,15
0.07887539863586426,0.0058195188761155005,0.007342052459716797,0.0008363053926811659,0.1,16,0.5,"{'model__alpha': 0.1, 'model__n_centers': 16, 'model__width': 0.5}",0.6467393475898222,0.606925087108014,0.5828286655872863,0.6090370462874474,0.6880736856891252,0.626720766452339,0.03686739396148065,10
0.07969532012939454,0.005141529213386348,0.00688776969909668,0.0011571790351506343,0.1,16,1.0,"{'model__alpha': 0.1, 'model__n_centers': 16, 'model__width': 1}",0.6254778514346266,0.5985880398671096,0.5842652997825412,0.6572367971578876,0.6717346658918179,0.6274605308267966,0.03331727722708373,9
0.10830488204956054,0.0037946973998849013,0.0060444831848144535,0.0005999980703527899,0.1,32,0.5,"{'model__alpha': 0.1, 'model__n_centers': 32, 'model__width': 0.5}",0.6258907384750081,0.7003143389356928,0.6307012048291119,0.6699399624636966,0.689028314028314,0.6631749117463647,0.030126906878031663,6
0.11075754165649414,0.00514598160145038,0.006182575225830078,0.000597307751313483,0.1,32,1.0,"{'model__alpha': 0.1, 'model__n_centers': 32, 'model__width': 1}",0.6681545548164436,0.6502818296948102,0.597357645590246,0.718009768009768,0.6965147597500538,0.6660637115722643,0.04147197135011907,5
