mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.015914058685302733,0.0013764081172778198,0.005960321426391602,0.0006795061946715874,0.1,{'model__C': 0.1},0.7610027072050793,0.7904444908559287,0.724604847207587,0.7320995670995671,0.7923897099924058,0.7601082644721135,0.028313099971067117,4
0.018169260025024413,0.0032727399085841313,0.006394386291503906,0.0004927883064439608,1.0,{'model__C': 1},0.8036559712421781,0.8282934833567746,0.7757536895747836,0.7504535104535104,0.8178332441908837,0.7951979797636262,0.02849334353289917,3
0.054007101058959964,0.01445967387437638,0.008984565734863281,0.0009703094528227793,10.0,{'model__C': 10},0.7917649437293617,0.8354173942145393,0.7740285899935022,0.7566896166896168,0.8187801386377336,0.7953361366529508,0.028693019728147622,2
0.2379291534423828,0.15533547060982061,0.005829572677612305,0.002033624267092399,100.0,{'model__C': 100},0.8145039213150668,0.8419621672993464,0.7699990913881771,0.7764502164502164,0.8269851270595872,0.8059801047024788,0.02819653475839756,1
