mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07607741355895996,0.03319321723507983,0.004521989822387695,0.0016191404746672287,0.0001,"(16,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.5548540965207632,0.5739046973803071,0.6284306826178747,0.44781798661109007,0.442259442277296,0.5294533810814662,0.07305442174088599,11
0.04543228149414062,0.013496760300973114,0.004601621627807617,0.0010409447625448988,0.0001,"(16,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.6447849462365591,0.7814816398677158,0.7480559025007036,0.6886170604440945,0.766963727329581,0.7259806552757309,0.05145108241973341,3
0.12086515426635742,0.03204522700381345,0.004075765609741211,0.0016615869215789107,0.0001,"(32,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.7072216307480534,0.5949064376483733,0.6773141522934398,0.6854978354978355,0.7726169417138763,0.6875113995803157,0.057122961725550224,8
0.05040035247802734,0.010011500474783148,0.0037819862365722655,0.0020639283435634594,0.0001,"(32,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6792478354978355,0.6966984205195588,0.7518681270791266,0.7281996194830139,0.8300188114991317,0.7372065628157334,0.05274528161857698,1
0.10534920692443847,0.042959432995996416,0.00485682487487793,0.0011101562002214954,0.0001,"(32, 16)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.5322566201597541,0.6635962788380678,0.6018112518112518,0.48276111069538297,0.7923426673426673,0.6145535857694249,0.10799866423200344,9
0.05073161125183105,0.007609295748179816,0.004118633270263672,0.001046566224946441,0.0001,"(32, 16)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.6553860833486155,0.6744274349867957,0.7154592553565156,0.7531569307885096,0.7692414697543463,0.7135342348469564,0.043789288819625266,6
0.06634855270385742,0.01290068149658212,0.004767274856567383,0.001777628598690466,0.01,"(16,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.5548540965207632,0.5739046973803071,0.6284306826178747,0.44781798661109007,0.442259442277296,0.5294533810814662,0.07305442174088599,11
0.03943958282470703,0.014133429318605777,0.0030377388000488283,0.0007797599588750662,0.01,"(16,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.6447849462365591,0.7609605952984948,0.7595548381954408,0.6886170604440945,0.766963727329581,0.724176233500834,0.048995787274216294,4
0.11538715362548828,0.03013154937620402,0.0058074951171875,0.002612027064637001,0.01,"(32,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.7072216307480534,0.6103402199609415,0.6773141522934398,0.6854978354978355,0.7726169417138763,0.6905981560428293,0.05224411056497803,7
0.04977402687072754,0.016714735674588616,0.003784322738647461,0.001544397157220377,0.01,"(32,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6792478354978355,0.6966984205195588,0.7518681270791266,0.7353457924189631,0.817243722675313,0.7360807796381594,0.04820406127556066,2
0.09302563667297363,0.047951783188383834,0.003993844985961914,0.0011798260750253797,0.01,"(32, 16)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.5249871293873274,0.6635962788380678,0.6018112518112518,0.48276111069538297,0.7923426673426673,0.6130996876149395,0.10913967916441192,10
0.04921016693115234,0.00719471721240982,0.0034035205841064452,0.00021426552352674436,0.01,"(32, 16)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.6636783333591104,0.6674744444697496,0.7222242723955052,0.7292482314433534,0.8215501792114696,0.7208350921758376,0.05714979141284596,5
