mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1014327049255371,0.03915672286683978,0.004720926284790039,0.002064242977556331,0.0001,"(16,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.5634247884247885,0.5753185125324713,0.5828323806011433,0.5554051965813537,0.5089894282932258,0.5571940612865965,0.025890259905487958,11
0.06454329490661621,0.022377617338838706,0.004218959808349609,0.0007356901624200993,0.0001,"(16,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7620701226839233,0.7161352883388475,0.8058533806126289,0.8051073664924937,0.7066113224518862,0.7591554961159559,0.04221940387741859,4
0.07662487030029297,0.010844180390100005,0.003912925720214844,0.00041467970128503963,0.0001,"(32,)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.668258979826144,0.5956459872122524,0.5743924961561906,0.6191511710415685,0.5834698366670596,0.608183694180643,0.03358314877207962,7
0.041962385177612305,0.007256213203307398,0.004245758056640625,0.0011310846464645827,0.0001,"(32,)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.7217994310099574,0.6665634144902015,0.6568813131313131,0.7274832680304479,0.7990333867046195,0.7143521626733078,0.050961672729624014,5
0.07593450546264649,0.013705155548656488,0.004577159881591797,0.0012629229142746457,0.0001,"(32, 16)",0.001,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.5385395094957839,0.6502495183510807,0.6225792459330601,0.48531170708995913,0.5916013376459625,0.5776562637031694,0.0592283000530742,9
0.08416557312011719,0.031800776054105404,0.0037621498107910157,0.0012656694322119232,0.0001,"(32, 16)",0.01,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7913922882244769,0.7401734376734377,0.8103220635125143,0.7317834281650072,0.8066605044516691,0.7760663444054211,0.0334473284399539,2
0.07860684394836426,0.020293219727368604,0.004501056671142578,0.0019670927021434356,0.01,"(16,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.001}",0.5634247884247885,0.5753185125324713,0.5828323806011433,0.5554051965813537,0.5089894282932258,0.5571940612865965,0.025890259905487958,11
0.06298274993896484,0.02038747815151021,0.004944324493408203,0.002393250822611669,0.01,"(16,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (16,), 'model__learning_rate_init': 0.01}",0.7620701226839233,0.7161352883388475,0.8058533806126289,0.8184408733719444,0.7057449293830307,0.761648918878075,0.04555498776521569,3
0.06358613967895507,0.009752893109481122,0.0039062023162841795,0.001095879554014469,0.01,"(32,)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.668258979826144,0.5956459872122524,0.5743924961561906,0.6191511710415685,0.5834698366670596,0.608183694180643,0.03358314877207962,7
0.03325409889221191,0.008044817959059454,0.0032562255859375,0.00037017930295814885,0.01,"(32,)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.7217994310099574,0.6665634144902015,0.6568813131313131,0.7274832680304479,0.7990333867046195,0.7143521626733078,0.050961672729624014,5
0.07117018699645997,0.021658093876593256,0.004448843002319336,0.0017400237383672912,0.01,"(32, 16)",0.001,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.5385395094957839,0.6502495183510807,0.6225792459330601,0.48531170708995913,0.5916013376459625,0.5776562637031694,0.0592283000530742,9
0.07387075424194336,0.016989900197920193,0.0042533397674560545,0.0018830792895621674,0.01,"(32, 16)",0.01,"{'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.7694531229138294,0.7457318240536798,0.8240007301792198,0.7463064768084595,0.8148531432497423,0.7800690594409861,0.03338137207688518,1
