method,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,train_seconds_mean
svm,0.8416821804054042,0.030833657359339826,0.8433991797676008,0.030448854800999372,3.812228225997533
svm_linear,0.7944095696675578,0.03623430851651631,0.7970397015265437,0.03567723379126258,2.012363837999292
mlp,0.7751256784187035,0.046859664434636086,0.7811295283663705,0.04419477608297461,5.481070640001563
svm_unscaled,0.7559114570425784,0.039621863103701714,0.7650497835497835,0.03667777440119883,5.030981326000765
rbf,0.7265406972893699,0.03670358734141583,0.740569264069264,0.033758819447360984,9.524169809998712
knn,0.7080995260586564,0.05326966604723075,0.7139301093643199,0.05152225137851992,0.007777235998073593
centroid,0.4410829105857196,0.051680882256024276,0.4623924014581909,0.04666774930991927,0.007072541999514214
