split,feature,macro_f1,balanced_accuracy,f1_drop
0,COMPACTNESS,0.7993348115299335,0.803030303030303,0.060459560764438924
0,CIRCULARITY,0.7995719389012073,0.8013528138528139,0.06022243339316513
0,DISTANCE_CIRCULARITY,0.7864388584891321,0.8046536796536796,0.0733555138052403
0,RADIUS_RATIO,0.7057445509573169,0.7048701298701299,0.15404982133705547
0,PR.AXIS_ASPECT_RATIO,0.778391472868217,0.7803030303030303,0.08140289942615542
0,MAX.LENGTH_ASPECT_RATIO,0.8704251411284877,0.8722943722943723,-0.01063076883411529
0,SCATTER_RATIO,0.7701040612805319,0.7736471861471862,0.0896903110138405
0,ELONGATEDNESS,0.7409225494779492,0.7492424242424243,0.11887182281642317
0,PR.AXIS_RECTANGULARITY,0.7611181571937385,0.7547077922077923,0.09867621510063385
0,MAX.LENGTH_RECTANGULARITY,0.7657894736842106,0.7792207792207793,0.09400489861016181
0,SCALED_VARIANCE_MAJOR,0.8469622253832779,0.8456709956709957,0.012832146911094466
0,SCALED_VARIANCE_MINOR,0.7414448184414524,0.750974025974026,0.11834955385292001
0,SCALED_RADIUS_OF_GYRATION,0.7503842775581906,0.7411255411255411,0.1094100947361818
0,SKEWNESS_ABOUT_MAJOR,0.7681910569105691,0.7672619047619047,0.09160331538380329
0,SKEWNESS_ABOUT_MINOR,0.8700110864745011,0.8711580086580086,-0.010216714180128705
0,KURTOSIS_ABOUT_MAJOR,0.8233598033654754,0.8257575757575757,0.03643456892889696
0,KURTOSIS_ABOUT_MINOR,0.7344098883572568,0.7304112554112554,0.12538448393711554
0,HOLLOWS_RATIO,0.6659755875594385,0.6757575757575758,0.19381878473493386
1,COMPACTNESS,0.7012654012654013,0.7088744588744589,0.08433758442743045
1,CIRCULARITY,0.7115222595183011,0.7202380952380952,0.07408072617453065
1,DISTANCE_CIRCULARITY,0.6896274797988254,0.6996753246753247,0.09597550589400627
1,RADIUS_RATIO,0.4814848638117717,0.46915584415584416,0.30411812188106
1,PR.AXIS_ASPECT_RATIO,0.6703521703521703,0.6856060606060606,0.1152508153406614
1,MAX.LENGTH_ASPECT_RATIO,0.776578073089701,0.7797619047619048,0.009024912603130764
1,SCATTER_RATIO,0.7495511245511246,0.7503246753246753,0.03605186114170711
1,ELONGATEDNESS,0.6550908888145421,0.6737012987012987,0.13051209687828957
1,PR.AXIS_RECTANGULARITY,0.6357116938809171,0.6304112554112554,0.14989129181191463
1,MAX.LENGTH_RECTANGULARITY,0.7204786923670927,0.7326298701298701,0.06512429332573899
1,SCALED_VARIANCE_MAJOR,0.7884512038170575,0.7889069264069264,-0.0028482181242257543
1,SCALED_VARIANCE_MINOR,0.7254346269877793,0.7293290043290044,0.06016835870505244
1,SCALED_RADIUS_OF_GYRATION,0.7463286713286714,0.7383116883116883,0.03927431436416029
1,SKEWNESS_ABOUT_MAJOR,0.660485347985348,0.6599025974025974,0.12511763770748374
1,SKEWNESS_ABOUT_MINOR,0.7963853596121038,0.8014069264069263,-0.010782373919272059
1,KURTOSIS_ABOUT_MAJOR,0.7651913825339803,0.7759199134199135,0.020411603158851377
1,KURTOSIS_ABOUT_MINOR,0.7125291485472994,0.7212662337662337,0.07307383714553228
1,HOLLOWS_RATIO,0.6171230612763794,0.6308982683982685,0.16847992441645232
2,COMPACTNESS,0.707439936225191,0.7224025974025974,0.1864625027991993
2,CIRCULARITY,0.7719636635141862,0.7775974025974026,0.12193877551020404
2,DISTANCE_CIRCULARITY,0.7717511714451739,0.7803030303030303,0.12215126757921635
2,RADIUS_RATIO,0.6981981981981982,0.6951839826839826,0.1957042408261921
2,PR.AXIS_ASPECT_RATIO,0.7129162546250514,0.7099025974025974,0.1809861843993389
2,MAX.LENGTH_ASPECT_RATIO,0.8819444444444444,0.8825216450216451,0.011957994579945841
2,SCATTER_RATIO,0.8375365497076023,0.844047619047619,0.05636588931678799
2,ELONGATEDNESS,0.8308068999558361,0.8308982683982684,0.06309553906855414
2,PR.AXIS_RECTANGULARITY,0.7613194367172335,0.7542207792207791,0.1325830023071568
2,MAX.LENGTH_RECTANGULARITY,0.7935286935286936,0.8008116883116883,0.10037374549569666
2,SCALED_VARIANCE_MAJOR,0.8475177304964538,0.847943722943723,0.046384708527936414
